1|1|1|股票代码,股票名称,筛选日期,筛选来源,筛选理由,是否买入,仓位%,买入日期,买入价格,买入_日线K,买入_日线D,买入_日线J,买入_30分K,买入_30分D,买入_30分J,买入_60分K,买入_60分D,买入_60分J,买入时形态,买入时大盘状态,买入时沪深300状态,买入理由,卖出日期,卖出价格,卖出_日线K,卖出_日线D,卖出_日线J,卖出_30分K,卖出_30分D,卖出_30分J,卖出_60分K,卖出_60分D,卖出_60分J,卖出时形态,卖出时大盘状态,卖出时沪深300状态,卖出理由,收益率%,持有天数,备注,后续走势
     2|     2|     2|
     3|     3|603085.SH,天成自控,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     4|     4|600089.SH,特变电工,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     5|     5|300827.SZ,上能电气,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     6|     6|920786.BJ,骑士乳业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     7|     7|301023.SZ,奕帆传动,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     8|     8|600580.SH,卧龙电驱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     9|     9|603667.SH,五洲新春,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    10|    10|688775.SH,影石创新,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    11|    11|002151.SZ,北斗星通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    12|    12|
    13|003021.SZ,兆威机电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    14|688181.SH,八亿时空,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    15|301555.SZ,惠柏新材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    16|002555.SZ,三七互娱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    17|300450.SZ,先导智能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    18|688385.SH,复旦微电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    19|600219.SH,南山铝业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    20|300418.SZ,昆仑万维,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    21|688062.SH,迈威生物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    22|688521.SH,芯原股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    23|300446.SZ,航天智造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    24|603799.SH,华友钴业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    25|002245.SZ,蔚蓝锂芯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    26|688560.SH,明冠新材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    27|001318.SZ,阳光乳业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    28|603267.SH,鸿远电子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    29|603678.SH,火炬电子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    30|300229.SZ,拓尔思,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    31|300459.SZ,汤姆猫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    32|603288.SH,海天味业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    33|300390.SZ,天华新能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    34|688599.SH,天合光能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    35|600549.SH,厦门钨业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    36|301120.SZ,新特电气,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    37|301511.SZ,德福科技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    38|000753.SZ,漳州发展,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    39|603258.SH,电魂网络,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    40|688106.SH,金宏气体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    41|300476.SZ,胜宏科技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    42|688249.SH,晶合集成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    43|603019.SH,中科曙光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
